"filename", "language", "Markdown", "Shell Script", "Rust", "YAML", "C++", "Python", "comment", "blank", "total"
"d:\code\Rust crate\num-format-master\.travis.yml", "YAML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"d:\code\Rust crate\num-format-master\CHANGELOG.md", "Markdown", 69, 0, 0, 0, 0, 0, 0, 22, 91
"d:\code\Rust crate\num-format-master\CONTRIBUTING.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 23, 72
"d:\code\Rust crate\num-format-master\README.md", "Markdown", 161, 0, 0, 0, 0, 0, 0, 55, 216
"d:\code\Rust crate\num-format-master\num-format-benches\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\code\Rust crate\num-format-master\num-format-benches\benches\bench_usize.rs", "Rust", 0, 0, 89, 0, 0, 0, 0, 6, 95
"d:\code\Rust crate\num-format-master\num-format-benches\python\bench.py", "Python", 0, 0, 0, 0, 0, 11, 0, 4, 15
"d:\code\Rust crate\num-format-master\num-format-benches\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\code\Rust crate\num-format-master\num-format-dev\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\code\Rust crate\num-format-master\num-format-dev\src\create_module.rs", "Rust", 0, 0, 229, 0, 0, 0, 60, 42, 331
"d:\code\Rust crate\num-format-master\num-format-dev\src\lib.rs", "Rust", 0, 0, 25, 0, 0, 0, 1, 4, 30
"d:\code\Rust crate\num-format-master\num-format-dev\src\main.rs", "Rust", 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\code\Rust crate\num-format-master\num-format-dev\src\parse_data.rs", "Rust", 0, 0, 95, 0, 0, 0, 12, 21, 128
"d:\code\Rust crate\num-format-master\num-format-dev\src\rustfmt.rs", "Rust", 0, 0, 18, 0, 0, 0, 2, 5, 25
"d:\code\Rust crate\num-format-master\num-format-dev\src\utils\format.rs", "Rust", 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\code\Rust crate\num-format-master\num-format-dev\src\utils\grouping.rs", "Rust", 0, 0, 40, 0, 0, 0, 0, 7, 47
"d:\code\Rust crate\num-format-master\num-format-dev\src\utils\mod.rs", "Rust", 0, 0, 4, 0, 0, 0, 0, 2, 6
"d:\code\Rust crate\num-format-master\num-format-windows\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\code\Rust crate\num-format-master\num-format-windows\build.rs", "Rust", 0, 0, 31, 0, 0, 0, 0, 6, 37
