"filename", "language", "Rust", "Markdown", "HTML", "Python", "YAML", "comment", "blank", "total"
"d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\compile-issue.md", "Markdown", 0, 11, 0, 0, 0, 0, 6, 17
"d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 12, 0, 0, 0, 0, 7, 19
"d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\other.md", "Markdown", 0, 7, 0, 0, 0, 0, 4, 11
"d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\suggest-a-change.md", "Markdown", 0, 17, 0, 0, 0, 0, 12, 29
"d:\code\Rust crate\rand-master\.github\workflows\gh-pages.yml", "YAML", 0, 0, 0, 0, 28, 1, 3, 32
"d:\code\Rust crate\rand-master\.github\workflows\test.yml", "YAML", 0, 0, 0, 0, 191, 6, 11, 208
"d:\code\Rust crate\rand-master\CHANGELOG.md", "Markdown", 0, 536, 0, 0, 0, 0, 162, 698
"d:\code\Rust crate\rand-master\README.md", "Markdown", 0, 118, 0, 0, 0, 0, 41, 159
"d:\code\Rust crate\rand-master\SECURITY.md", "Markdown", 0, 50, 0, 0, 0, 0, 20, 70
"d:\code\Rust crate\rand-master\benches\distributions.rs", "Rust", 341, 0, 0, 0, 0, 39, 61, 441
"d:\code\Rust crate\rand-master\benches\generators.rs", "Rust", 139, 0, 0, 0, 0, 7, 19, 165
"d:\code\Rust crate\rand-master\benches\misc.rs", "Rust", 155, 0, 0, 0, 0, 9, 20, 184
"d:\code\Rust crate\rand-master\benches\seq.rs", "Rust", 165, 0, 0, 0, 0, 11, 25, 201
"d:\code\Rust crate\rand-master\benches\weighted.rs", "Rust", 24, 0, 0, 0, 0, 7, 6, 37
"d:\code\Rust crate\rand-master\examples\monte-carlo.rs", "Rust", 19, 0, 0, 0, 0, 25, 8, 52
"d:\code\Rust crate\rand-master\examples\monty-hall.rs", "Rust", 65, 0, 0, 0, 0, 37, 22, 124
"d:\code\Rust crate\rand-master\rand_chacha\CHANGELOG.md", "Markdown", 0, 30, 0, 0, 0, 0, 10, 40
"d:\code\Rust crate\rand-master\rand_chacha\README.md", "Markdown", 0, 34, 0, 0, 0, 0, 16, 50
"d:\code\Rust crate\rand-master\rand_chacha\src\chacha.rs", "Rust", 465, 0, 0, 0, 0, 110, 63, 638
"d:\code\Rust crate\rand-master\rand_chacha\src\guts.rs", "Rust", 239, 0, 0, 0, 0, 15, 28, 282
"d:\code\Rust crate\rand-master\rand_chacha\src\lib.rs", "Rust", 17, 0, 0, 0, 0, 10, 7, 34
"d:\code\Rust crate\rand-master\rand_core\CHANGELOG.md", "Markdown", 0, 78, 0, 0, 0, 0, 16, 94
"d:\code\Rust crate\rand-master\rand_core\README.md", "Markdown", 0, 58, 0, 0, 0, 0, 24, 82
"d:\code\Rust crate\rand-master\rand_core\src\block.rs", "Rust", 327, 0, 0, 0, 0, 147, 66, 540
"d:\code\Rust crate\rand-master\rand_core\src\error.rs", "Rust", 159, 0, 0, 0, 0, 49, 21, 229
"d:\code\Rust crate\rand-master\rand_core\src\impls.rs", "Rust", 117, 0, 0, 0, 0, 70, 21, 208
"d:\code\Rust crate\rand-master\rand_core\src\le.rs", "Rust", 34, 0, 0, 0, 0, 13, 10, 57
"d:\code\Rust crate\rand-master\rand_core\src\lib.rs", "Rust", 159, 0, 0, 0, 0, 330, 43, 532
