Date : 2021-12-24 22:38:10
Directory : d:\code\Rust crate\rand-master
Total : 101 files,  14641 codes, 5113 comments, 2523 blanks, all 22277 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Rust     |         82 |     13,259 |      5,063 |      2,113 |     20,435 |
| Markdown |         15 |      1,104 |          0 |        370 |      1,474 |
| YAML     |          2 |        219 |          7 |         14 |        240 |
| Python   |          1 |         58 |         43 |         25 |        126 |
| HTML     |          1 |          1 |          0 |          1 |          2 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |        101 |     14,641 |      5,113 |      2,523 |     22,277 |
| .github                                                                   |          6 |        266 |          7 |         43 |        316 |
| .github\ISSUE_TEMPLATE                                                    |          4 |         47 |          0 |         29 |         76 |
| .github\workflows                                                         |          2 |        219 |          7 |         14 |        240 |
| benches                                                                   |          5 |        824 |         73 |        131 |      1,028 |
| examples                                                                  |          2 |         84 |         62 |         30 |        176 |
| rand_chacha                                                               |          5 |        785 |        135 |        124 |      1,044 |
| rand_chacha\src                                                           |          3 |        721 |        135 |         98 |        954 |
| rand_core                                                                 |          8 |        967 |        649 |        212 |      1,828 |
| rand_core\src                                                             |          6 |        831 |        649 |        172 |      1,652 |
| rand_distr                                                                |         34 |      5,041 |      1,403 |        700 |      7,144 |
| rand_distr\benches                                                        |          1 |        191 |          9 |         33 |        233 |
| rand_distr\benches\src                                                    |          1 |        191 |          9 |         33 |        233 |
| rand_distr\src                                                            |         27 |      4,143 |      1,329 |        560 |      6,032 |
| rand_distr\tests                                                          |          4 |        612 |         65 |         81 |        758 |
| rand_pcg                                                                  |         10 |        650 |        260 |        160 |      1,070 |
| rand_pcg\src                                                              |          4 |        353 |        248 |         82 |        683 |
| rand_pcg\tests                                                            |          4 |        239 |         12 |         52 |        303 |
| src                                                                       |         26 |      5,261 |      2,481 |        874 |      8,616 |
| src\distributions                                                         |         11 |      2,780 |      1,146 |        436 |      4,362 |
| src\rngs                                                                  |         10 |        702 |        483 |        181 |      1,366 |
| src\rngs\adapter                                                          |          3 |        320 |        160 |         75 |        555 |
| src\seq                                                                   |          2 |      1,383 |        455 |        198 |      2,036 |
| utils                                                                     |          2 |         59 |         43 |         26 |        128 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\compile-issue.md    | Markdown |         11 |          0 |          6 |         17 |
| d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\feature_request.md  | Markdown |         12 |          0 |          7 |         19 |
| d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\other.md            | Markdown |          7 |          0 |          4 |         11 |
| d:\code\Rust crate\rand-master\.github\ISSUE_TEMPLATE\suggest-a-change.md | Markdown |         17 |          0 |         12 |         29 |
| d:\code\Rust crate\rand-master\.github\workflows\gh-pages.yml             | YAML     |         28 |          1 |          3 |         32 |
| d:\code\Rust crate\rand-master\.github\workflows\test.yml                 | YAML     |        191 |          6 |         11 |        208 |
| d:\code\Rust crate\rand-master\CHANGELOG.md                               | Markdown |        536 |          0 |        162 |        698 |
| d:\code\Rust crate\rand-master\README.md                                  | Markdown |        118 |          0 |         41 |        159 |
| d:\code\Rust crate\rand-master\SECURITY.md                                | Markdown |         50 |          0 |         20 |         70 |
| d:\code\Rust crate\rand-master\benches\distributions.rs                   | Rust     |        341 |         39 |         61 |        441 |
| d:\code\Rust crate\rand-master\benches\generators.rs                      | Rust     |        139 |          7 |         19 |        165 |
| d:\code\Rust crate\rand-master\benches\misc.rs                            | Rust     |        155 |          9 |         20 |        184 |
| d:\code\Rust crate\rand-master\benches\seq.rs                             | Rust     |        165 |         11 |         25 |        201 |
| d:\code\Rust crate\rand-master\benches\weighted.rs                        | Rust     |         24 |          7 |          6 |         37 |
| d:\code\Rust crate\rand-master\examples\monte-carlo.rs                    | Rust     |         19 |         25 |          8 |         52 |
| d:\code\Rust crate\rand-master\examples\monty-hall.rs                     | Rust     |         65 |         37 |         22 |        124 |
| d:\code\Rust crate\rand-master\rand_chacha\CHANGELOG.md                   | Markdown |         30 |          0 |         10 |         40 |
| d:\code\Rust crate\rand-master\rand_chacha\README.md                      | Markdown |         34 |          0 |         16 |         50 |
| d:\code\Rust crate\rand-master\rand_chacha\src\chacha.rs                  | Rust     |        465 |        110 |         63 |        638 |
| d:\code\Rust crate\rand-master\rand_chacha\src\guts.rs                    | Rust     |        239 |         15 |         28 |        282 |
| d:\code\Rust crate\rand-master\rand_chacha\src\lib.rs                     | Rust     |         17 |         10 |          7 |         34 |
| d:\code\Rust crate\rand-master\rand_core\CHANGELOG.md                     | Markdown |         78 |          0 |         16 |         94 |
| d:\code\Rust crate\rand-master\rand_core\README.md                        | Markdown |         58 |          0 |         24 |         82 |
| d:\code\Rust crate\rand-master\rand_core\src\block.rs                     | Rust     |        327 |        147 |         66 |        540 |
| d:\code\Rust crate\rand-master\rand_core\src\error.rs                     | Rust     |        159 |         49 |         21 |        229 |
| d:\code\Rust crate\rand-master\rand_core\src\impls.rs                     | Rust     |        117 |         70 |         21 |        208 |
| d:\code\Rust crate\rand-master\rand_core\src\le.rs                        | Rust     |         34 |         13 |         10 |         57 |
| d:\code\Rust crate\rand-master\rand_core\src\lib.rs                       | Rust     |        159 |        330 |         43 |        532 |
| d:\code\Rust crate\rand-master\rand_core\src\os.rs                        | Rust     |         35 |         40 |         11 |         86 |
| d:\code\Rust crate\rand-master\rand_distr\CHANGELOG.md                    | Markdown |         53 |          0 |         10 |         63 |
| d:\code\Rust crate\rand-master\rand_distr\README.md                       | Markdown |         42 |          0 |         16 |         58 |
| d:\code\Rust crate\rand-master\rand_distr\benches\src\distributions.rs    | Rust     |        191 |          9 |         33 |        233 |
| d:\code\Rust crate\rand-master\rand_distr\src\binomial.rs                 | Rust     |        233 |         76 |         40 |        349 |
| d:\code\Rust crate\rand-master\rand_distr\src\cauchy.rs                   | Rust     |        111 |         39 |         18 |        168 |
| d:\code\Rust crate\rand-master\rand_distr\src\dirichlet.rs                | Rust     |        135 |         36 |         16 |        187 |
| d:\code\Rust crate\rand-master\rand_distr\src\exponential.rs              | Rust     |        104 |         62 |         16 |        182 |
| d:\code\Rust crate\rand-master\rand_distr\src\frechet.rs                  | Rust     |        140 |         27 |         19 |        186 |
| d:\code\Rust crate\rand-master\rand_distr\src\gamma.rs                    | Rust     |        593 |        169 |         53 |        815 |
| d:\code\Rust crate\rand-master\rand_distr\src\geometric.rs                | Rust     |        148 |         56 |         33 |        237 |
| d:\code\Rust crate\rand-master\rand_distr\src\gumbel.rs                   | Rust     |        114 |         26 |         16 |        156 |
| d:\code\Rust crate\rand-master\rand_distr\src\hypergeometric.rs           | Rust     |        312 |         62 |         47 |        421 |
| d:\code\Rust crate\rand-master\rand_distr\src\inverse_gaussian.rs         | Rust     |         89 |          6 |         18 |        113 |
| d:\code\Rust crate\rand-master\rand_distr\src\lib.rs                      | Rust     |        108 |         92 |         14 |        214 |
| d:\code\Rust crate\rand-master\rand_distr\src\normal.rs                   | Rust     |        203 |        135 |         34 |        372 |
| d:\code\Rust crate\rand-master\rand_distr\src\normal_inverse_gaussian.rs  | Rust     |         86 |          6 |         16 |        108 |
| d:\code\Rust crate\rand-master\rand_distr\src\pareto.rs                   | Rust     |         95 |         25 |         15 |        135 |
| d:\code\Rust crate\rand-master\rand_distr\src\pert.rs                     | Rust     |        101 |         36 |         13 |        150 |
| d:\code\Rust crate\rand-master\rand_distr\src\poisson.rs                  | Rust     |        120 |         43 |         19 |        182 |
| d:\code\Rust crate\rand-master\rand_distr\src\skew_normal.rs              | Rust     |        186 |         48 |         23 |        257 |
| d:\code\Rust crate\rand-master\rand_distr\src\triangular.rs               | Rust     |         91 |         32 |         11 |        134 |
