"filename", "language", "XML", "Markdown", "Rust", "YAML", "comment", "blank", "total"
"d:\code\Rust crate\time-main\.github\CODE_OF_CONDUCT.md", "Markdown", 0, 26, 0, 0, 0, 10, 36
"d:\code\Rust crate\time-main\.github\FUNDING.yml", "YAML", 0, 0, 0, 3, 0, 1, 4
"d:\code\Rust crate\time-main\.github\workflows\build.yaml", "YAML", 0, 0, 0, 351, 8, 56, 415
"d:\code\Rust crate\time-main\.github\workflows\powerset.yaml", "YAML", 0, 0, 0, 137, 2, 12, 151
"d:\code\Rust crate\time-main\.github\workflows\scheduled.yaml", "YAML", 0, 0, 0, 27, 0, 7, 34
"d:\code\Rust crate\time-main\CHANGELOG.md", "Markdown", 0, 559, 0, 0, 0, 136, 695
"d:\code\Rust crate\time-main\README.md", "Markdown", 0, 34, 0, 0, 0, 15, 49
"d:\code\Rust crate\time-main\benchmarks\date.rs", "Rust", 0, 0, 285, 0, 8, 37, 330
"d:\code\Rust crate\time-main\benchmarks\duration.rs", "Rust", 0, 0, 608, 0, 14, 80, 702
"d:\code\Rust crate\time-main\benchmarks\formatting.rs", "Rust", 0, 0, 160, 0, 1, 19, 180
"d:\code\Rust crate\time-main\benchmarks\instant.rs", "Rust", 0, 0, 75, 0, 4, 14, 93
"d:\code\Rust crate\time-main\benchmarks\main.rs", "Rust", 0, 0, 94, 0, 7, 6, 107
"d:\code\Rust crate\time-main\benchmarks\month.rs", "Rust", 0, 0, 34, 0, 0, 4, 38
"d:\code\Rust crate\time-main\benchmarks\offset_date_time.rs", "Rust", 0, 0, 365, 0, 10, 56, 431
"d:\code\Rust crate\time-main\benchmarks\parsing.rs", "Rust", 0, 0, 194, 0, 0, 9, 203
"d:\code\Rust crate\time-main\benchmarks\primitive_date_time.rs", "Rust", 0, 0, 125, 0, 6, 19, 150
"d:\code\Rust crate\time-main\benchmarks\rand.rs", "Rust", 0, 0, 29, 0, 0, 3, 32
"d:\code\Rust crate\time-main\benchmarks\time.rs", "Rust", 0, 0, 181, 0, 6, 26, 213
