Date : 2021-12-24 22:40:57
Directory : d:\code\Rust crate\time-main
Total : 117 files,  19955 codes, 3646 comments, 2619 blanks, all 26220 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Rust     |        109 |     18,817 |      3,636 |      2,382 |     24,835 |
| Markdown |          3 |        619 |          0 |        161 |        780 |
| YAML     |          4 |        518 |         10 |         76 |        604 |
| XML      |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        117 |     19,955 |      3,646 |      2,619 |     26,220 |
| .github                                                                                   |          5 |        544 |         10 |         86 |        640 |
| .github\workflows                                                                         |          3 |        515 |         10 |         75 |        600 |
| benchmarks                                                                                |         14 |      2,308 |         64 |        303 |      2,675 |
| src                                                                                       |         51 |      7,050 |      3,462 |      1,162 |     11,674 |
| src\error                                                                                 |         10 |        567 |         57 |        104 |        728 |
| src\format_description                                                                    |          4 |        644 |        245 |         74 |        963 |
| src\formatting                                                                            |          2 |        590 |         54 |         53 |        697 |
| src\parsing                                                                               |          9 |      1,337 |        178 |        155 |      1,670 |
| src\parsing\combinator                                                                    |          4 |        242 |         44 |         45 |        331 |
| src\parsing\combinator\rfc                                                                |          3 |         88 |         27 |         23 |        138 |
| src\serde                                                                                 |          5 |        595 |         84 |        120 |        799 |
| src\sys                                                                                   |          5 |        173 |         54 |         46 |        273 |
| src\sys\local_offset_at                                                                   |          4 |        168 |         53 |         42 |        263 |
| tests                                                                                     |         29 |      7,845 |         95 |        732 |      8,672 |
| tests\integration                                                                         |         29 |      7,845 |         95 |        732 |      8,672 |
| tests\integration\compile-fail                                                            |          5 |         66 |          0 |         10 |         76 |
| time-macros                                                                               |         15 |      1,614 |         15 |        185 |      1,814 |
| time-macros\src                                                                           |         15 |      1,614 |         15 |        185 |      1,814 |
| time-macros\src\format_description                                                        |          5 |        650 |          1 |         64 |        715 |
| time-macros\src\helpers                                                                   |          2 |        287 |          2 |         37 |        326 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                  | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\code\Rust crate\time-main\.github\CODE_OF_CONDUCT.md                                   | Markdown |         26 |          0 |         10 |         36 |
| d:\code\Rust crate\time-main\.github\FUNDING.yml                                          | YAML     |          3 |          0 |          1 |          4 |
| d:\code\Rust crate\time-main\.github\workflows\build.yaml                                 | YAML     |        351 |          8 |         56 |        415 |
| d:\code\Rust crate\time-main\.github\workflows\powerset.yaml                              | YAML     |        137 |          2 |         12 |        151 |
| d:\code\Rust crate\time-main\.github\workflows\scheduled.yaml                             | YAML     |         27 |          0 |          7 |         34 |
| d:\code\Rust crate\time-main\CHANGELOG.md                                                 | Markdown |        559 |          0 |        136 |        695 |
| d:\code\Rust crate\time-main\README.md                                                    | Markdown |         34 |          0 |         15 |         49 |
| d:\code\Rust crate\time-main\benchmarks\date.rs                                           | Rust     |        285 |          8 |         37 |        330 |
| d:\code\Rust crate\time-main\benchmarks\duration.rs                                       | Rust     |        608 |         14 |         80 |        702 |
| d:\code\Rust crate\time-main\benchmarks\formatting.rs                                     | Rust     |        160 |          1 |         19 |        180 |
| d:\code\Rust crate\time-main\benchmarks\instant.rs                                        | Rust     |         75 |          4 |         14 |         93 |
| d:\code\Rust crate\time-main\benchmarks\main.rs                                           | Rust     |         94 |          7 |          6 |        107 |
| d:\code\Rust crate\time-main\benchmarks\month.rs                                          | Rust     |         34 |          0 |          4 |         38 |
| d:\code\Rust crate\time-main\benchmarks\offset_date_time.rs                               | Rust     |        365 |         10 |         56 |        431 |
| d:\code\Rust crate\time-main\benchmarks\parsing.rs                                        | Rust     |        194 |          0 |          9 |        203 |
| d:\code\Rust crate\time-main\benchmarks\primitive_date_time.rs                            | Rust     |        125 |          6 |         19 |        150 |
| d:\code\Rust crate\time-main\benchmarks\rand.rs                                           | Rust     |         29 |          0 |          3 |         32 |
| d:\code\Rust crate\time-main\benchmarks\time.rs                                           | Rust     |        181 |          6 |         26 |        213 |
| d:\code\Rust crate\time-main\benchmarks\utc_offset.rs                                     | Rust     |         45 |          6 |         15 |         66 |
| d:\code\Rust crate\time-main\benchmarks\util.rs                                           | Rust     |         53 |          2 |          7 |         62 |
| d:\code\Rust crate\time-main\benchmarks\weekday.rs                                        | Rust     |         60 |          0 |          8 |         68 |
| d:\code\Rust crate\time-main\logo.svg                                                     | XML      |          1 |          0 |          0 |          1 |
| d:\code\Rust crate\time-main\src\date.rs                                                  | Rust     |        424 |        438 |         73 |        935 |
| d:\code\Rust crate\time-main\src\duration.rs                                              | Rust     |        488 |        390 |        125 |      1,003 |
